,Kappa,F1,Recall,mIOU
0500_10_2,0.851,0.879,0.844,0.865
0500_6_4,0.863,0.896,0.884,0.874
0500_6_7,0.824,0.855,0.858,0.843
0503_6_10,0.82,0.862,0.829,0.838
0513_10_10,0.836,0.863,0.873,0.853
0515_1_12,0.888,0.903,0.89,0.896
0530_6_5,0.868,0.921,0.88,0.876
0652_9_10,0.841,0.898,0.852,0.853
0659_10_9,0.767,0.852,0.778,0.792
0659_2_9,0.846,0.893,0.87,0.858
0671_5_10,0.86,0.877,0.855,0.874
0677_4_1,0.871,0.911,0.892,0.88
0686_8_9,0.863,0.903,0.875,0.873
0689_4_7,0.848,0.87,0.86,0.863
0689_5_12,0.892,0.912,0.9,0.9
0689_8_13,0.857,0.886,0.839,0.869
0707_1_11,0.823,0.883,0.838,0.838
0707_1_12,0.815,0.895,0.861,0.831
DJI_0485_3_1,0.861,0.878,0.887,0.875
DJI_0552_6_1,0.851,0.901,0.903,0.862
DJI_0591_0_11,0.866,0.888,0.883,0.877
DJI_0591_0_12,0.854,0.884,0.869,0.867
DJI_0591_0_13,0.873,0.891,0.895,0.884
DJI_0591_0_14,0.862,0.871,0.901,0.877
DJI_0591_0_9,0.88,0.901,0.904,0.89
DJI_0591_1_11,0.888,0.92,0.936,0.895
DJI_0591_1_4,0.853,0.861,0.896,0.87
DJI_0591_1_5,0.859,0.873,0.889,0.873
DJI_0591_1_6,0.864,0.879,0.898,0.877
DJI_0591_1_8,0.873,0.892,0.892,0.884
DJI_0677_4_2,0.872,0.899,0.89,0.882
DJI_0686_0_13,0.853,0.883,0.897,0.866
DJI_0686_0_4,0.867,0.892,0.885,0.878
DJI_0686_0_6,0.876,0.901,0.924,0.886
DJI_0689_0_0,0.912,0.92,0.896,0.918
DJI_0689_0_1,0.885,0.902,0.867,0.894
DJI_0701_2_5,0.848,0.893,0.903,0.861
DJI_0707_8_13,0.84,0.871,0.898,0.856
DJI_0707_8_14,0.813,0.851,0.874,0.833
DJI_0707_9_1,0.84,0.865,0.913,0.857
,,,,
,,,,
mean,0.855575,0.886875,0.87945,0.86845
STD,0.025622146,0.018481325,0.028224945,0.022182144
