0,8.86,12
1,38.87,15
2,14.77,17
3,28.52,22
4,37.93,24
5,46.48,25
6,31.01,30
7,42.5,31
8,35.53,34
9,14.95,35
10,27.93,37
11,25.74,42
12,30.25,45
13,36.77,46
14,34.44,50
15,11.75,51
16,9.53,53
17,29.77,54
18,33.45,55
19,32.36,56
20,26.95,60
21,38.79,61
22,10.45,62
23,20.44,63
24,13.36,65
25,24.12,70
26,36.04,72
27,46.65,73
28,11.8,75
29,19.14,76
30,24.8,77
31,18.11,81
32,34.91,82
33,14.8,83
34,21.25,85
35,10.47,86
36,78.49,90
37,16.81,92
38,14.01,96
39,22.86,97
40,41.08,98
41,29.9,101
42,84.03,103
43,25.08,109
44,29.56,111
45,33.34,114
46,28.83,121
47,20.81,123
48,10.41,124
49,28.44,127
50,4.57,128
51,13.71,134
52,27.13,135
53,30.2,137
54,16.35,138
55,31.03,142
56,22.36,143
57,29.8,145
58,42.24,148
59,39.61,149
60,33.98,154
61,23.99,157
62,30.42,161
63,15.37,163
64,20.52,171
65,17.72,175
66,12.57,179
67,5.61,181
68,5.43,183
